name,right,anti,ssc,atlas
E. Harding,100,86,1,1
A. Karlin,77.5,85,0,0
Lomez,57.5,80,0,0
populist86,57.5,80,0,1
M. Gaines,90,85,0,0
Continuum,87.5,55,0,0
retromike,32.5,23.5,0,1
warband,27.5,65,0,1
MaxWeberFan,85,85,0,0
MB,26.5,82.5,0,1
Republitarian,37.5,32.5,0,1
Lechasseur,57.5,75,0,1
Ascott,27.5,85,0,1
wxtransit,47.5,30,0,1
Santander,87.5,57.5,0,1
DWSalts,57.5,57.5,0,0
Greedo,76,20,0,1
Drew,22.5,48.5,0,0
Wulfric,47.5,38.5,0,1
bruhgmger,32.5,41,0,1
RFayette,81,21,0,1
FDB,50,30,0,1
E. Cunningham,65,11,0,0
LibertarianRepublican,17.5,86.66,0,1
Fudotei,46.11,84.375,0,1
Peebs,11.5,60,0,1
DFW,27.5,50,0,1
Skunk,7.5,62.5,0,1
lok1999,34.21,66,0,1
Rudnick,70,16,0,0
joncprevo,47.5,42.5,0,0
V. Bola,42.5,11,0,0
fhtagn,55,58.5,0,1
intllctllyhonst,80,57.5,0,0
Neil,34,50,0,0
Cora,11.5,100,0,1
liberpaulian,70,70,0,1
Debs4Prez,7.5,71,0,1
TrannyPornO,100,65,1,0
ff29180d,36,32.5,1,0
Spreek,47.5,55,1,0
Hailanathema,15,60,1,0
AutisticThinker,25,90,1,0
Dickferret,87.5,65,1,0
dedicating_ruckus,95,83.5,1,0
sflicht,70,92.5,1,0
ulyssessword,60,45,1,0
Cthulhu422,37.5,75,1,0
marty_byrde,50,70,1,0
weberm70,72.5,81,1,0
RomeInvicta,85,20,1,0
PLUTO_PLANETA_EST,7.5,23.5,1,0
WavesAcross,17.36,55.88,1,0
Unauspicious_Cultist,33.5,32.5,1,0
VisualQuiet,60,67.5,1,0
modorra,35,51,1,0
instituteofmemetics,65,40,1,0
marinuso,72.5,61,1,0
nomenym,65,60,1,0
Vosem,62.5,20,1,1
Heraker,95,84,1,0
soup_feedback,6.84,70,1,0
SovereignLover,62.5,20,1,0
MonkeyTigerCommander,47.368,34.375,1,0
EdiX,65,51.5,1,0
TrumpEnergy,85,85,1,0
The_Reason_Trump_Won,50,50,1,0
SillyEnthusiasm,56.5,57.5,1,0
LiteralHeadCannon,80,46,1,0
c0mm3,16.5,57.5,1,0
DJWalnut,5,65,1,0
TheGovanahJake,39.474,75,0,1
JacksonHitchcock,45,50,0,1
ChairmanSanchez,50,82,0,1
Debs4Prez,7.5,71,0,1
TrannyPornO,100,65,1,0
mvd10,60,30,0,1
HillGoose,55,11,0,1
Chadpotkin,10,51,0,1
scutosaurus,37.5,42,0,1
Spenstar,27.5,66,0,1
FamousMortimer,50,80,0,1
TheBuckeyeNut,27,56,0,1
Jalaketu West,45,13.5,0,1
UlmerFudd,62.5,27.5,0,1
KoopaDaQuick,70,31,0,1
Straha,65.5,92.5,0,1
politicalmasta73,35,46,0,1
Yogomogo,80,80,0,0
Pingvin,75,65,0,1
NYCMM,85,67.5,0,1
TheAmericanNationalist,75,55,0,1
Zippumup,80,0,0,0
Clash,57.5,65,0,1
türkisblau,40,88.5,0,1
freepcrusher,62.5,87.5,0,1
PyroTheFox,10,75,0,1
Snowguy,17.5,75,0,1
Button,100,84.211,0,0
Tigerdovefan34,70,55,0,1
[Lex],95,75,0,0
Yellowhammer,70,62.5,0,1
Mopolis,62,82,0,1
Cashew,33.158,53.5,0,1
PragPop,27.5,37.5,0,1
PiT,82.5,77.5,0,1
AdmiralPresident,47.5,6,0,1
Aztlan,61.5,75,0,0
nerd73,37.5,45,0,1
Frisk,45,37.5,0,0
Tyler1122,55,25,0,1
reagent,80,26,0,1
vtester,75,62,0,0
Jacobin American,5,85,0,1
Cathcon,57.5,30,0,1
westroopnerd,32.5,31,0,1
TJ in WI/OR,51.5,42.5,0,1
Alancia,52.5,72.5,0,1
kaisercox,37.5,65,0,1
AustralianSwingVoter,12.5,27.5,0,1
OctoCube,65,52,0,1
Nuke,100,60,0,0
MungBeans,36.5,46,0,1
jonnguy2016,42.5,35,0,1
Mechaman,20,90,0,1
LouisvilleThunder,58,80,0,1
Bagel23,52.5,82.5,0,1
The Defense,50,47.5,0,1
publicunofficial,11.5,85,0,1
DPKdebator,60,43.158,0,1
DabbingSanta,65,35,0,1
shua,57.5,68.412,0,1
SlippingJimmy,57.5,35,0,1
Trajan,42.5,45,0,1
SouthernGothic,36,85,0,1
McGovernForPrez,27.5,56,0,1
1184AZ,70,67.5,0,1
